"","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","sqft_above","sqft_basement","yr_built","yr_renovated","street","city","statezip","country"
"1550",619000,4,2,2300,3400,1.5,0,0,5,1550,750,1915,0,"308 NW 67th St","Seattle","WA 98117","USA"
"806",725000,5,2.75,2830,5310,2,0,0,3,2830,0,2006,0,"11931 179th Pl NE","Redmond","WA 98052","USA"
"3415",415000,3,1,1170,6700,1,0,0,3,1170,0,1957,2000,"3510 NE 115th St","Seattle","WA 98125","USA"
"1426",630000,4,2.5,2740,43101,2,0,0,3,2740,0,1993,0,"18808 215th Way NE","Woodinville","WA 98077","USA"
"2169",328000,3,1.75,1440,45302,2,0,0,3,1440,0,1977,2004,"31720 NE 123rd St","Duvall","WA 98019","USA"
"2045",185000,3,1,1840,8100,1,0,0,4,920,920,1953,1983,"16433 12th Ave SW","Burien","WA 98166","USA"
"1499",580000,5,2,1940,6000,1,0,0,5,970,970,1945,0,"8026 38th Ave NE","Seattle","WA 98115","USA"
"833",605000,3,2.25,1290,2500,2,0,0,4,1290,0,1987,0,"411 27th Ave E","Seattle","WA 98112","USA"
"595",665000,3,2,1940,5820,1.5,0,0,5,1150,790,1944,0,"324 NW 48th St","Seattle","WA 98107","USA"
"2840",197500,3,1,1330,5412,2,0,0,5,1330,0,1905,0,"1535 Griffin Ave","Enumclaw","WA 98022","USA"
"3099",375000,4,2.5,1870,7471,2,0,0,3,1870,0,1990,2009,"10309 SE 190th Pl","Renton","WA 98055","USA"
"4140",568000,4,1.75,2790,17476,1,0,2,3,1450,1340,1956,2001,"2714 SW 164th Pl","Burien","WA 98166","USA"
"592",975000,4,2.5,3490,7494,2,0,3,3,3490,0,2000,0,"4902 159th Pl SE","Bellevue","WA 98006","USA"
"2328",476000,3,1,1140,5500,1.5,0,0,4,1140,0,1908,0,"4415 29th Ave W","Seattle","WA 98199","USA"
"3515",240000,4,1,1200,2171,1.5,0,0,3,1200,0,1933,0,"10720 Stone Ave N","Seattle","WA 98133","USA"
"1519",1400000,4,3.25,4700,9160,1,0,4,3,2520,2180,2005,0,"5700-5798 SW Hinds St","Seattle","WA 98116","USA"
"2803",315000,3,2.5,1730,6368,2,0,0,3,1730,0,1993,0,"28001 232nd Pl SE","Maple Valley","WA 98038","USA"
"3648",245000,3,2.75,1300,14197,1,0,0,3,860,440,1996,0,"11748 SE 264th St","Kent","WA 98030","USA"
"2664",669000,4,2.75,2700,35362,2,0,0,5,2700,0,1976,0,"18222 NE 186th St","Woodinville","WA 98077","USA"
"1555",4e+05,4,2.75,1240,3867,1,0,0,3,800,440,1987,2000,"12001 Bartlett Ave NE","Seattle","WA 98125","USA"
"2951",332000,3,2,1510,7884,1,0,0,3,1510,0,1942,2014,"1015 SW 150th St","Burien","WA 98166","USA"
"3540",330000,4,1.75,2440,7350,1,0,0,3,1610,830,1978,0,"3716 S 253rd Pl","Kent","WA 98032","USA"
"3068",649950,3,2.5,1500,1375,2,0,0,3,1200,300,2014,0,"2811 14th Ave W","Seattle","WA 98119","USA"
"665",486000,4,2.5,2150,39449,1,0,0,3,1420,730,1978,0,"5242 336th Ave SE","Fall City","WA 98024","USA"
"2974",995000,4,4.5,3850,13551,2,0,2,3,3000,850,1998,2006,"5659 178th Ave SE","Bellevue","WA 98006","USA"
"3724",260000,2,1,770,7906,1,0,0,4,770,0,1948,0,"834 NE 189th St","Shoreline","WA 98155","USA"
"3152",405000,3,2.25,1520,1245,3,0,0,3,1520,0,2004,2003,"8502 Interlake Ave N","Seattle","WA 98103","USA"
"1363",1100000,3,2.75,2640,4050,1.5,0,0,5,1750,890,1926,0,"1532 McGilvra Blvd E","Seattle","WA 98112","USA"
"2710",345000,4,2.75,2250,7412,1,0,0,4,1480,770,1975,0,"15801 SE 175th Pl","Renton","WA 98058","USA"
"3280",390000,4,2.5,2340,8548,2,0,0,3,2340,0,1993,0,"11824 SE 203rd St","Kent","WA 98031","USA"
"2732",1600000,6,5,6050,230652,2,0,3,3,6050,0,2001,0,"29236 SE 5th St","Fall City","WA 98024","USA"
"1690",665000,4,2.5,2720,10000,2,0,0,3,2720,0,1987,2000,"2110 216th Pl NE","Sammamish","WA 98074","USA"
"4098",485000,4,2.25,1900,7200,1,0,0,3,1370,530,1977,2004,"11042 31st Ave SW","Seattle","WA 98146","USA"
"931",818000,2,2.5,2380,9374,1,0,2,3,2380,0,2011,0,"12449 240th Pl NE","Redmond","WA 98053","USA"
"271",492000,4,2.5,3305,16164,1.5,0,0,5,2245,1060,1922,1956,"1718 N 175th St","Shoreline","WA 98133","USA"
"2875",232500,3,1,1320,8450,1,0,0,3,880,440,1961,2004,"30606 2nd Ave SW","Federal Way","WA 98023","USA"
"1367",415000,5,1.5,1900,10226,1,0,0,3,1130,770,1961,2004,"8605 NE 137th St","Kirkland","WA 98034","USA"
"1050",374000,3,1.75,2000,9416,1,0,0,4,2000,0,1961,2001,"12401 NE 108th Ln","Kirkland","WA 98033","USA"
"3837",185000,5,1,1590,6700,1.5,0,0,3,1090,500,1942,1999,"10626 12th Ave SW","Seattle","WA 98146","USA"
"888",241000,2,2,1470,3128,2,0,0,3,1470,0,2005,0,"24023 SE 282nd St","Maple Valley","WA 98038","USA"
"4033",1360000,4,3,5430,108900,2,0,0,4,5430,0,1987,0,"22701 NE 57th Ct","Redmond","WA 98053","USA"
"3043",249500,2,1.75,1500,8645,1,0,0,4,1500,0,1963,0,"26449 171st Ave SE","Covington","WA 98042","USA"
"2351",399950,2,1,710,1131,2,0,0,4,710,0,1943,0,"2358 Fairview Ave E","Seattle","WA 98102","USA"
"525",1300000,4,3.25,2330,9687,2,0,3,3,2330,0,1918,0,"731 McGilvra Blvd E","Seattle","WA 98112","USA"
"1991",257000,4,2.75,2330,7642,1,0,0,3,1800,530,1990,2009,"2829 SW 342nd Pl","Federal Way","WA 98023","USA"
"3160",345000,3,1.5,1420,1192,2,0,0,3,1140,280,2008,0,"1707 22nd Ave S","Seattle","WA 98144","USA"
"917",1e+06,2,1.75,2430,23400,1,0,4,3,2430,0,1951,1994,"18200-18298 13th Ave NW","Shoreline","WA 98177","USA"
"1600",425000,3,1.75,1680,3000,1,0,2,4,840,840,1900,1971,"927 N 79th St","Seattle","WA 98103","USA"
"1874",1100000,5,2.75,2660,8737,1,0,4,5,1470,1190,1969,0,"4435 140th Ave SE","Bellevue","WA 98006","USA"
"4367",330000,3,3,1680,1570,3,0,0,3,1680,0,2014,0,"4117 Whitman Ave N","Seattle","WA 98103","USA"
"3064",579000,3,2.5,1640,1269,3,0,0,3,1640,0,2009,0,"129 25th Ave E","Seattle","WA 98112","USA"
"3233",194000,3,1,1050,7577,1,0,0,3,1050,0,1983,2009,"34810 18th Ave SW","Federal Way","WA 98023","USA"
"3252",395000,4,1.75,1540,5120,1,0,0,5,770,770,1943,0,"7350 31st Ave SW","Seattle","WA 98126","USA"
"591",675000,4,2.5,3000,5548,2,0,0,3,3000,0,2006,0,"11409 SE 71st Pl","Newcastle","WA 98056","USA"
"2648",250000,4,2.5,1800,8100,2,0,0,3,1800,0,1998,2006,"22028 SE 269th St","Maple Valley","WA 98038","USA"
"2085",455000,3,1,1300,3550,1.5,0,0,3,1300,0,1927,2011,"5606 8th Ave NE","Seattle","WA 98105","USA"
"2859",1440000,3,3.5,3870,3819,2,0,0,3,2760,1110,2002,0,"2720 Boyer Ave E","Seattle","WA 98102","USA"
"1452",245100,3,1.75,1300,7958,1,0,0,3,1300,0,1996,0,"11022 SE 319th Ct","Auburn","WA 98092","USA"
"4201",583000,3,2.5,2600,5100,2,0,1,3,2600,0,1998,2006,"1007 N 29th St","Renton","WA 98056","USA"
"2595",375000,4,2,2400,6000,2,0,0,3,2400,0,1913,1945,"9801-9999 NE 183rd St","Bothell","WA 98011","USA"
"116",340000,5,1,1120,9022,1.5,0,0,4,1120,0,1962,0,"14150 75th Ave NE","Kirkland","WA 98034","USA"
"3258",350000,2,1,740,7680,1,0,0,4,740,0,1922,0,"8802 30th Ave SW","Seattle","WA 98126","USA"
"2109",1350000,4,3.25,3300,15907,2,0,0,5,3300,0,1985,0,"9213 SE 68th St","Mercer Island","WA 98040","USA"
"218",1870000,5,4,4510,15175,2,0,0,3,4510,0,1969,2002,"8300 SE 82nd St","Mercer Island","WA 98040","USA"
"4317",568500,4,2.5,2460,4200,2,0,0,3,2460,0,1998,2006,"547 240th Ave SE","Sammamish","WA 98074","USA"
"873",210000,3,1,1080,21043,1,0,0,3,1080,0,1942,1999,"5612 18th Ave SW","Seattle","WA 98106","USA"
"2579",524000,2,1,1120,2000,1.5,0,0,3,1120,0,1910,2006,"159 Fulton St","Seattle","WA 98109","USA"
"3842",256000,4,2.5,2050,5787,2,0,0,3,2050,0,2002,0,"1327 S 277th Pl","Des Moines","WA 98198","USA"
"3823",519000,5,2.25,2570,13054,1,0,1,3,1470,1100,1950,1992,"1316 SW 172nd St","Normandy Park","WA 98166","USA"
"3444",530000,3,2,2330,26571,2.5,0,0,3,2330,0,1987,2000,"13607 SE 10th St","Bellevue","WA 98005","USA"
"1609",715000,4,1.75,3420,7200,1,0,3,5,1770,1650,1947,0,"10718 Exeter Ave NE","Seattle","WA 98125","USA"
"2768",1400000,3,2,2020,5500,1.5,0,3,3,1790,230,1937,1999,"2340 Magnolia Blvd W","Seattle","WA 98199","USA"
"730",316500,4,2.5,2150,6807,2,0,0,4,2150,0,1991,0,"11401 SE 219th Pl","Kent","WA 98031","USA"
"2807",535000,3,2,2120,4080,2,0,0,3,2120,0,2003,0,"9115 227 Ave NE","Redmond","WA 98053","USA"
"1183",1150000,6,4.5,6040,219542,2,0,0,3,4100,1940,1996,0,"4616 252nd Ave SE","Issaquah","WA 98029","USA"
"925",477000,3,2.5,1350,2053,3,0,0,3,1350,0,2005,0,"2313 NW 65th St","Seattle","WA 98117","USA"
"2467",380000,4,2.5,2540,6365,2,0,0,3,1870,670,2000,0,"2107 Davis Ave S","Renton","WA 98055","USA"
"3055",775000,4,2.5,2300,6158,2,0,0,3,2300,0,1999,0,"9009 27th Ave NE","Seattle","WA 98115","USA"
"2244",750000,5,3.25,2750,7500,2,0,1,3,2150,600,1937,1997,"10237 NE 64th St","Kirkland","WA 98033","USA"
"2982",390000,3,1,1160,3750,1.5,0,0,3,1160,0,1910,2006,"4146 20th Ave SW","Seattle","WA 98106","USA"
"396",255000,2,1,960,28717,1,0,0,4,960,0,1984,0,"29805-29821 129th Pl SW","Vashon","WA 98070","USA"
"1417",370000,2,2.25,1280,835,2,0,0,3,1080,200,2009,0,"3825 S Angeline St","Seattle","WA 98118","USA"
"1139",324000,3,2.5,1750,7208,2,0,0,3,1750,0,1994,0,"11201 SE 190th Pl","Renton","WA 98055","USA"
"3317",5e+05,3,1.5,1190,4750,1,0,0,3,970,220,1940,1996,"2226 NW 60th St","Seattle","WA 98107","USA"
"2587",465000,3,2.25,2670,7500,1,0,0,4,1640,1030,1966,0,"15800-15898 15th Ave SW","Burien","WA 98166","USA"
"3958",399900,2,1.75,1410,1005,1.5,0,0,3,900,510,2011,0,"932-968 NE High St","Issaquah","WA 98029","USA"
"4511",690408.62069,4,2.5,3210,14910,2,0,0,3,3210,0,1995,0,"110-112 209th Pl SE","Sammamish","WA 98074","USA"
"835",645000,4,2.5,3160,11380,2,0,0,3,3160,0,1983,2009,"2504 225th Pl NE","Sammamish","WA 98074","USA"
"1320",346000,4,2.5,2100,3916,2,0,0,3,2100,0,2009,0,"11674 SE 189th Pl","Renton","WA 98058","USA"
"3125",4e+05,4,1.75,1700,20283,1.5,0,0,3,1340,360,1965,1993,"19744 324th Ave NE","Duvall","WA 98019","USA"
"3080",345000,3,1,1140,4200,2,0,0,4,1140,0,1904,0,"115 28th Ave S","Seattle","WA 98144","USA"
"2810",580000,4,2.5,3250,5000,2,0,0,3,3250,0,2008,0,"976 Jericho Pl NE","Renton","WA 98059","USA"
"1535",690000,4,2.5,2920,9904,2,0,0,4,2920,0,1990,0,"25919 SE 37th Way","Issaquah","WA 98029","USA"
"2499",799000,3,2.5,2860,4442,2,0,0,3,2860,0,2000,0,"4432 30th Ave W","Seattle","WA 98199","USA"
"3406",826000,4,2.5,3060,7140,2,0,0,3,3060,0,2006,0,"2401 NE Daphne St","Issaquah","WA 98029","USA"
"4574",584000,3,1.75,1490,1036,2,0,0,3,1090,400,2008,0,"4304B 36th Ave W","Seattle","WA 98199","USA"
"3760",1110000,5,3.25,3350,4000,2,0,0,4,2510,840,1997,0,"4776 34th Ave NE","Seattle","WA 98105","USA"
"1137",360000,3,2.5,1530,1131,3,0,0,3,1530,0,2009,0,"933 N 97th St","Seattle","WA 98103","USA"
"1930",653000,3,2.5,2680,9750,1,0,0,4,1610,1070,1979,0,"8236 NE 115th Way","Kirkland","WA 98034","USA"
"626",330000,3,2.5,1450,5008,1,0,0,3,840,610,2007,0,"6544 18th Ave SW","Seattle","WA 98106","USA"
"1412",1710000,5,4.5,4590,14685,2,0,0,3,4590,0,2009,0,"6402-6412 105th Ave NE","Kirkland","WA 98033","USA"
"1624",465000,4,2.25,1820,20349,1,0,0,5,1340,480,1977,0,"15812 182nd Ave NE","Woodinville","WA 98072","USA"
"684",349950,5,3,2257,10117,1,0,0,3,1363,894,2005,0,"3755 S 168th St","SeaTac","WA 98188","USA"
"4256",380000,2,1,780,3910,1,0,0,3,780,0,1918,0,"4112 38th Ave SW","Seattle","WA 98126","USA"
"1736",391000,3,2.25,1410,1290,2,0,0,3,1290,120,2004,2003,"2134 NW Boulder Way Dr","Issaquah","WA 98027","USA"
"2765",310000,4,2.5,2660,12672,1,0,0,4,1740,920,1960,2001,"820 S 300th St","Federal Way","WA 98003","USA"
"2179",365000,3,2.5,1800,2700,2,0,0,3,1800,0,2011,0,"2803 SW Bataan St","Seattle","WA 98126","USA"
"3859",6e+05,5,2,2190,9072,1,0,0,5,1110,1080,1965,0,"14314 NE 72nd St","Redmond","WA 98052","USA"
"2962",458000,3,2.5,1870,5013,2,0,0,3,1870,0,2003,0,"8927 NE 176th St","Bothell","WA 98011","USA"
"1554",790000,5,3.25,2900,12160,1,0,0,4,1890,1010,1967,0,"465 129th Pl NE","Bellevue","WA 98005","USA"
"2142",290000,4,3,2390,4500,2,0,0,3,2390,0,1974,0,"312 Wells Ave N","Renton","WA 98057","USA"
"773",765000,5,3.75,3580,14275,2,0,0,3,3190,390,1999,0,"170 Mt Quay Dr NW","Issaquah","WA 98027","USA"
"3593",235000,3,1.75,1950,8712,1,0,0,3,1950,0,1960,2012,"18201-18223 114th Ave SE","Renton","WA 98055","USA"
"2021",550000,3,1.5,1900,5000,1.5,0,0,3,1640,260,1926,2003,"6810 31st Ave NE","Seattle","WA 98115","USA"
"3128",385000,3,3.25,1630,1677,3,0,0,3,1630,0,2007,0,"353 N 105th St","Seattle","WA 98133","USA"
"666",160000,3,1,860,11900,1,0,0,4,860,0,1963,0,"27204 116th Pl SE","Kent","WA 98030","USA"
"3737",450000,3,1.75,1400,13775,1,0,0,3,1400,0,1963,2008,"6217 NE 156th St","Kenmore","WA 98028","USA"
"4070",695500,5,2.75,2510,9180,1,0,1,4,1600,910,1975,0,"3312 181st Pl NE","Redmond","WA 98052","USA"
"1869",540000,3,1,1050,4160,1,0,0,4,1050,0,1925,1968,"2511 NE 65th St","Seattle","WA 98115","USA"
"2489",760000,4,2.5,2420,10285,1,0,4,3,1700,720,1958,2004,"12849 Shorecrest Dr SW","Burien","WA 98146","USA"
"2539",265000,3,1,1000,9150,1,0,0,3,1000,0,1969,2010,"16206 SE 134th St","Renton","WA 98059","USA"
"244",248500,4,1.75,1720,10018,1,0,0,5,1720,0,1960,0,"16635 SE 268th St","Covington","WA 98042","USA"
"3642",370000,3,1,1320,7341,1,0,0,3,1320,0,1982,0,"14744 31st Ave NE","Shoreline","WA 98155","USA"
"3732",485000,3,2.25,2440,47916,2,0,0,3,2090,350,1991,0,"3036 E Ames Lake Dr NE","Redmond","WA 98053","USA"
"3647",397500,4,2.5,2570,7859,2,0,0,3,2570,0,1992,0,"22200 SE 255th St","Maple Valley","WA 98038","USA"
"1632",740000,5,3.75,3990,18897,2,0,0,3,3090,900,1937,2010,"1714 NE Brockman Pl","Seattle","WA 98125","USA"
"3164",515000,5,3.25,2910,5027,2,0,0,3,2040,870,2013,1923,"1920C SW Brandon St","Seattle","WA 98106","USA"
"3777",401000,3,2,1240,11172,1,0,0,3,1000,240,1984,0,"3027 230th Pl NE","Sammamish","WA 98074","USA"
"3056",603500,6,2.75,2660,8400,1,0,0,5,1550,1110,1962,0,"12526 SE 61st St","Bellevue","WA 98006","USA"
"2421",294000,4,2.5,2210,8465,1,0,0,3,1490,720,1990,2009,"512 47th St SE","Auburn","WA 98092","USA"
"1438",537000,3,2.5,1550,12920,2,0,0,5,1550,0,1999,0,"11004 NE 108th St","Kirkland","WA 98033","USA"
"3633",419000,2,1.75,1510,4980,1,0,0,3,1510,0,2006,0,"13471 Adair Creek Way NE","Redmond","WA 98053","USA"
"1642",642000,4,2.5,2560,8780,2,0,0,3,2560,0,1992,0,"3964 262nd Ave SE","Issaquah","WA 98029","USA"
"1922",285000,3,2.5,2437,5136,2,0,0,3,2437,0,2011,0,"157 Pike St NE","Auburn","WA 98002","USA"
"320",258000,4,1.75,1730,8320,1,0,0,3,1230,500,1977,2004,"30633 21st Ave SW","Federal Way","WA 98023","USA"
"4424",341750,3,2.25,2180,7741,2,0,0,3,2180,0,1986,0,"4315 201st Ave NE","Sammamish","WA 98074","USA"
"954",490000,3,1,1910,8190,1,0,0,4,1010,900,1946,1989,"9237 7th Ave NW","Seattle","WA 98117","USA"
"3530",215500,2,1.75,1220,15600,1,0,0,3,1220,0,1972,2002,"35301-35323 56th Ave S","Auburn","WA 98001","USA"
"4287",6e+05,2,2.5,2410,102366,1,0,0,4,1940,470,1912,1989,"31600-31726 SE Issaquah-Fall City Rd","Fall City","WA 98024","USA"
"2506",556000,3,1.75,1640,7437,1,0,0,3,1090,550,1948,1994,"7736 38th Ave SW","Seattle","WA 98126","USA"
"8",482000,4,2.5,2710,35868,2,0,0,3,2710,0,1989,0,"23762 SE 253rd Pl","Maple Valley","WA 98038","USA"
"3405",350000,3,2.25,1780,16290,2,0,0,4,1780,0,1987,0,"15617 160th Ct SE","Renton","WA 98058","USA"
"622",660000,4,3.5,3400,5196,2,0,0,3,3400,0,2012,1912,"9314 Ash Ave SE","Snoqualmie","WA 98065","USA"
"1187",1180500,3,1.75,1610,7200,1,0,0,3,1090,520,1973,2013,"1015 36th Ave E","Seattle","WA 98112","USA"
"145",366750,3,3,1571,2017,3,0,0,3,1571,0,2008,0,"14359 19th Ave NE","Seattle","WA 98125","USA"
"2255",7e+05,5,2.75,3100,9825,2,0,2,4,3100,0,1950,1982,"4251 NE 125th St","Seattle","WA 98125","USA"
"1425",799000,4,3,2580,209523,2,0,0,3,2580,0,1984,0,"24927 NE 108th St","Redmond","WA 98053","USA"
"3263",329950,2,1,900,5220,1,0,0,4,900,0,1956,0,"10264 California Ave SW","Seattle","WA 98146","USA"
"640",266000,3,2.5,1780,7214,1,0,0,4,1400,380,1986,0,"26205 119th Dr SE","Kent","WA 98030","USA"
"4563",542500,5,2.75,2520,16100,1,0,3,4,1570,950,1960,2001,"8336 Avalon Dr","Mercer Island","WA 98040","USA"
"1179",180000,2,1,1400,4500,1,0,0,3,900,500,1922,2008,"309 Hardie Ave NW","Renton","WA 98057","USA"
"700",450000,3,2.5,2910,17172,2,0,0,3,2910,0,1989,0,"36023 3rd Ave S","Federal Way","WA 98003","USA"
"3420",725000,6,3,3110,5000,1.5,0,0,5,1810,1300,1921,0,"812 N 47th St","Seattle","WA 98103","USA"
"3728",3e+05,3,2.25,1660,5128,2,0,0,3,1660,0,2001,0,"278th Ave NE","Duvall","WA 98019","USA"
"3906",1015000,3,3.25,3620,4000,2,0,0,3,2730,890,2005,0,"3505 W McGraw St","Seattle","WA 98199","USA"
"722",3e+05,3,1,1220,13000,1,0,0,4,1220,0,1955,2009,"18218 Evanston Ave N","Shoreline","WA 98133","USA"
"3980",588000,3,2,1860,4777,2,0,0,5,1860,0,1908,0,"8222 16th Ave NE","Seattle","WA 98115","USA"
"4473",0,4,3.75,4060,19290,2,0,0,3,4060,0,2002,0,"21418 SE 5th Pl","Sammamish","WA 98074","USA"
"2089",450000,3,1.75,1640,13500,1,0,0,3,1110,530,1940,1996,"12016 23rd Ave NE","Seattle","WA 98125","USA"
"377",424500,3,1.75,1460,7700,1,0,0,3,1460,0,1979,2014,"15917 NE 109th Way","Redmond","WA 98052","USA"
"2567",277000,3,1,1100,8536,1,0,0,4,1100,0,1957,2001,"9615 58th Ave S","Seattle","WA 98118","USA"
"3482",537000,3,3,2410,7479,2,0,2,3,2410,0,1942,1988,"3715 NE 153rd St","Lake Forest Park","WA 98155","USA"
"2500",589000,3,2,2250,8800,1,0,0,4,1250,1000,1925,1968,"3406 60th Ave SW","Seattle","WA 98116","USA"
"2224",429000,3,3.25,1410,1246,3,0,0,3,1410,0,2005,0,"9507 Ashworth Ave N","Seattle","WA 98103","USA"
"1628",399000,2,1,940,4800,1,0,0,4,940,0,1911,1955,"3209 63rd Ave SW","Seattle","WA 98116","USA"
"3351",270000,2,1,2060,8398,1,0,0,3,1260,800,1962,2003,"10447 8th Ave S","Seattle","WA 98168","USA"
"2894",619850,4,2.5,2270,9247,1,0,0,5,1500,770,1972,0,"4802 122nd Ave SE","Bellevue","WA 98006","USA"
"2297",295000,5,3.5,2100,5107,2,0,0,3,1410,690,1999,0,"10026 61st Ave S","Seattle","WA 98178","USA"
"57",491500,4,1.75,2190,125452,1,0,2,3,2190,0,1968,1997,"36850 204th Ave SE","Auburn","WA 98092","USA"
"2549",385000,4,1.75,1690,4080,1,0,0,4,870,820,1984,0,"3405 35th Ave S","Seattle","WA 98144","USA"
"4332",236000,4,2.75,2000,5827,2,0,0,3,2000,0,1997,0,"26546 236th Pl SE","Maple Valley","WA 98038","USA"
"4185",150000,3,0.75,490,38500,1.5,0,0,4,490,0,1959,0,"11881 Tye River Rd NE","Skykomish","WA 98288","USA"
"2854",285000,3,1,1210,4731,1.5,0,0,3,1210,0,1901,0,"7749-7999 31st Ave NW","Seattle","WA 98117","USA"
